transaction_date,owner,ticker,asset_description,asset_type,transaction_type,amount,comment,party,state,industry,sector,senator,ptr_link,disclosure_date,amount_value,committees,return
2014-11-26,Spouse,BTF,"Boulder Total Return Fund, Inc. (NYSE)",,Sale (Full),"$15,001 - $50,000",--,Democrat,DE,,,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/603dd7a0-d19c-4033-a59f-1b7d38753668/,2014-12-01,32500.5,[],0.0
2014-11-11,Spouse,PNQI,PowerShares NASDAQ Internet (NASDAQ),,Purchase,"$1,001 - $15,000",--,Democrat,DE,,,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/603dd7a0-d19c-4033-a59f-1b7d38753668/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,MFCDX,MainStay Marketfield C (NASDAQ),,Sale (Full),"$50,001 - $100,000",--,Republican,ME,,,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,75000.5,[],0.0
2014-11-10,Spouse,FOXA,"Twenty-First Century Fox, Inc. (NASDAQ)",,Sale (Full),"$1,001 - $15,000",--,Republican,ME,Broadcasting,Consumer Services,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,TWX,Time Warner Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Republican,ME,,,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,TXN,Texas Instruments Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Republican,ME,Semiconductors,Technology,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,TFX,Teleflex Incorporated (NYSE),,Purchase,"$15,001 - $50,000",--,Republican,ME,Medical/Dental Instruments,Health Care,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,32500.5,[],0.0
2014-11-10,Spouse,SRCL,"Stericycle, Inc. (NASDAQ)",,Purchase,"$15,001 - $50,000",--,Republican,ME,Environmental Services,Utilities,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,32500.5,[],0.3356095422696795
2014-11-10,Spouse,HSIC,"Henry Schein, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,Republican,ME,Medical Specialities,Health Care,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],3.062308605712143
2014-11-10,Spouse,ROP,Roper Industries Inc. (NYSE),,Purchase,"$15,001 - $50,000",--,Republican,ME,Industrial Machinery/Components,Capital Goods,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,32500.5,[],0.0
2014-11-10,Spouse,RTN,Raytheon Company (NYSE),,Sale (Full),"$1,001 - $15,000",--,Republican,ME,,,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,PCP,Precision Castparts Corp. (NYSE),,Purchase,"$15,001 - $50,000",--,Republican,ME,,,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,32500.5,[],0.0
2014-11-10,Spouse,MET,"MetLife, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Republican,ME,Life Insurance,Finance,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,INTC,Intel Corporation (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Republican,ME,Semiconductors,Technology,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,GILD,Gilead Sciences Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,Republican,ME,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,XOM,Exxon Mobil Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,Republican,ME,Integrated oil Companies,Energy,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,DD,E. I. du Pont de Nemours and Company (NYSE),,Purchase,"$1,001 - $15,000",--,Republican,ME,,,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,COP,ConocoPhillips (NYSE),,Purchase,"$1,001 - $15,000",--,Republican,ME,Integrated oil Companies,Energy,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,CVX,Chevron Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,Republican,ME,Integrated oil Companies,Energy,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,AAPL,Apple Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,Republican,ME,Computer Manufacturing,Technology,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,APH,Amphenol Corporation (NYSE),,Purchase,"$15,001 - $50,000",--,Republican,ME,Electrical Products,Capital Goods,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,32500.5,[],0.0
2014-11-10,Spouse,AMLP,Alerian MLP ETF (NYSEArca),,Sale (Full),"$1,001 - $15,000",--,Republican,ME,,,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,ALL,The Allstate Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,Republican,ME,Property-Casualty Insurers,Finance,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-10,Spouse,T,"AT&amp;T, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Republican,ME,Telecommunications Equipment,Public Utilities,Susan M. Collins,https://efdsearch.senate.gov/search/view/ptr/b8079f9b-41e8-4625-bbe3-73f9614af12f/,2014-12-01,8000.5,[],0.0
2014-11-17,Self,NGG,National Grid plc (NYSE),,Sale (Full),"$1,001 - $15,000",--,Democrat,MD,Natural Gas Distribution,Public Utilities,Benjamin L Cardin,https://efdsearch.senate.gov/search/view/ptr/2315722c-3ef7-4724-aef7-80c564b1dbb7/,2014-11-29,8000.5,[],0.0
2014-11-17,Joint,OLN,Olin Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Democrat,MD,Industrial Specialties,Industrials,Benjamin L Cardin,https://efdsearch.senate.gov/search/view/ptr/2315722c-3ef7-4724-aef7-80c564b1dbb7/,2014-11-29,8000.5,[],0.0
2014-11-17,Self,MET,"MetLife, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Democrat,MD,Life Insurance,Finance,Benjamin L Cardin,https://efdsearch.senate.gov/search/view/ptr/2315722c-3ef7-4724-aef7-80c564b1dbb7/,2014-11-29,8000.5,[],0.0
2014-11-06,Self,HON,Honeywell International Inc. (NYSE),,Purchase,"$100,001 - $250,000",--,Republican,ND,Aerospace,Capital Goods,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/89a868a2-cc0c-459f-b87f-4a922f20cf8f/,2014-11-18,175000.5,[],0.0
2014-10-29,Self,CSCO,"Cisco Systems, Inc. (NASDAQ)",,Purchase,"$100,001 - $250,000",--,Republican,ND,Computer Communications Equipment,Technology,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/89a868a2-cc0c-459f-b87f-4a922f20cf8f/,2014-11-18,175000.5,[],0.0
2014-11-13,Joint,PEP,"Pepsico, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,Democrat,RI,Beverages (Production/Distribution),Consumer Non-Durables,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9258bb42-97c7-4c81-8c7c-ba69bcc92e91/,2014-11-18,8000.5,[],0.0
2014-11-13,Joint,T,"AT&amp;T, Inc. (NYSE)",,Sale (Partial),"$15,001 - $50,000",Rate/Coupon:5.8,Democrat,RI,Telecommunications Equipment,Public Utilities,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9258bb42-97c7-4c81-8c7c-ba69bcc92e91/,2014-11-18,32500.5,[],2.041539070474762
2014-11-13,Joint,PRU,"Prudential Financial, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,Democrat,RI,Life Insurance,Finance,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9258bb42-97c7-4c81-8c7c-ba69bcc92e91/,2014-11-18,8000.5,[],0.0
2014-11-13,Joint,M,"Macy's, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,Democrat,RI,Department/Specialty Retail Stores,Consumer Services,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9258bb42-97c7-4c81-8c7c-ba69bcc92e91/,2014-11-18,8000.5,[],1.5311543028560715
2014-11-10,Joint,DHR,Danaher Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Democrat,RI,Industrial Machinery/Components,Capital Goods,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9258bb42-97c7-4c81-8c7c-ba69bcc92e91/,2014-11-18,8000.5,[],1.5311543028560715
2014-11-10,Joint,F,Ford Motor Co. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Democrat,RI,Auto Manufacturing,Capital Goods,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9258bb42-97c7-4c81-8c7c-ba69bcc92e91/,2014-11-18,8000.5,[],0.0
2014-10-20,Joint,COF-PP,Capital One Financial Corp Pfd (NYSE),,Sale (Full),"$15,001 - $50,000",--,Democrat,RI,,,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9258bb42-97c7-4c81-8c7c-ba69bcc92e91/,2014-11-18,32500.5,[],0.0
2014-11-10,Self,DHR,Danaher Corp. (NYSE),,Sale (Partial),"$15,001 - $50,000",--,Democrat,RI,Industrial Machinery/Components,Capital Goods,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9258bb42-97c7-4c81-8c7c-ba69bcc92e91/,2014-11-18,32500.5,[],1.5311543028560715
2014-11-10,Self,BABA,Alibaba Group Holding Limited (NYSE),,Purchase,"$15,001 - $50,000",--,Democrat,RI,Business Services,Miscellaneous,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9258bb42-97c7-4c81-8c7c-ba69bcc92e91/,2014-11-18,32500.5,[],0.2525695081595415
2014-11-10,Self,F,Ford Motor Co. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Democrat,RI,Auto Manufacturing,Capital Goods,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9258bb42-97c7-4c81-8c7c-ba69bcc92e91/,2014-11-18,8000.5,[],0.0
2014-11-17,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,,,,,Richard Burr,https://efdsearch.senate.gov/search/view/paper/F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99/,2014-11-17,,[],0.0
2014-11-10,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,,,,,Mark R. Warner,https://efdsearch.senate.gov/search/view/paper/6BB34CE7-72BF-4F9A-B078-DDE209016DD6/,2014-11-10,,"['Banking, Housing, and Urban Affairs']",0.0
2014-11-30,Self,PFS,"Provident Financial Services, Inc. (NYSE)",,Sale (Full),"$50,001 - $100,000",--,Republican,PA,Savings Institutions,Finance,Patrick J. Toomey,https://efdsearch.senate.gov/search/view/ptr/7d2bc1ec-5ae5-4073-aaa6-07e8cfbcd6a2/,2014-11-05,75000.5,[],0.0
2014-11-03,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,,,,,Richard Burr,https://efdsearch.senate.gov/search/view/paper/BE1F720C-4A8A-4B29-9679-2D33E51A2946/,2014-11-03,,[],0.0
2014-11-03,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,,,,,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/53f257e6-27cb-4113-86f9-d80c1e87dfb4/,2014-11-03,,[],0.0
2014-10-01,Self,VIXY,ProShares VIX Short-Term Futures (NYSEArca),,Sale (Full),"$15,001 - $50,000",--,Republican,PA,,,Patrick J. Toomey,https://efdsearch.senate.gov/search/view/ptr/6daf2369-34e9-4df7-a327-d9498fa21c84/,2014-10-30,32500.5,[],0.0
2014-10-02,Self,QQQ,"PowerShares QQQ Trust, Series 1 (NASDAQ)",,Purchase,"$1,001 - $15,000",--,Democrat,RI,,,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,8000.5,[],0.0
2014-10-14,Child,SBUX,Starbucks Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--,Democrat,RI,Restaurants,Consumer Services,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,8000.5,[],0.0
2014-10-02,Child,SBUX,Starbucks Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--,Democrat,RI,Restaurants,Consumer Services,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,8000.5,[],0.0
2014-10-15,Joint,COF,Capital One Financial Corporation (NYSE),,Sale (Full),"$15,001 - $50,000",--,Democrat,RI,Major Banks,Finance,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,32500.5,[],-0.3769172781957201
2014-10-14,Joint,BMY,Bristol-Myers Squibb Company (NYSE),,Purchase,"$1,001 - $15,000",--,Democrat,RI,Major Pharmaceuticals,Health Care,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,8000.5,[],1.020769535237381
2014-10-14,Joint,CY,Cypress Semiconductor Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--,Democrat,RI,,,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,8000.5,[],3.062308605712143
2014-10-07,Self,TRIP,TripAdvisor Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,Democrat,RI,"Computer Software: Programming, Data Processing",Technology,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,8000.5,[],0.0
2014-10-07,Self,UL,Unilever plc (NYSE),,Purchase,"$1,001 - $15,000",--,Democrat,RI,Package Goods/Cosmetics,Basic Industries,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,8000.5,[],3.062308605712143
2014-10-02,Self,KORS,Michael Kors Holdings Limited (NYSE),,Purchase,"$1,001 - $15,000",--,Democrat,RI,,,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,8000.5,[],-0.3379170517082052
2014-10-02,Self,YUM,"Yum! Brands, Inc. (NYSE)",,Sale (Full),"$15,001 - $50,000",--,Democrat,RI,Restaurants,Consumer Services,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,32500.5,[],0.0
2014-10-02,Self,M,"Macy's, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,Democrat,RI,Department/Specialty Retail Stores,Consumer Services,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,8000.5,[],1.5311543028560715
2014-10-02,Self,A,Agilent Technologies Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,Democrat,RI,Biotechnology: Laboratory Analytical Instruments,Capital Goods,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,8000.5,[],0.0
2014-10-02,Self,UL,Unilever plc (NYSE),,Purchase,"$1,001 - $15,000",--,Democrat,RI,Package Goods/Cosmetics,Basic Industries,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,2014-10-28,8000.5,[],3.062308605712143
